上报收费站ID,上报收费站名称,上报收费归属省份,上报收费站经度,上报收费站纬度,电子地图收费站ID,电子地图ID,电子地图收费站名称,电子地图收费站归属省份,电子地图收费经度,电子地图收费站纬度,互联网地图1收费站ID,互联网地图1收费站名称,互联网地图1收费站归属省份,互联网地图1收费站经度,互联网地图1收费站纬度,确认收费站ID,确认收费站名称,确认收费站归属省份,确认收费站类型,确认收费站经度,确认收费站纬度,确认数据经纬度来源（0：互联网1；    1：上报收费站；2：电子地图；3:缺失）
G0085510040050,金银湖,sichuan,,,G0085510040050,2110034220,金银湖收费站,sichuan,104.78136,29.23066,G0085510040050,金银湖收费站,SI_CHUAN,104.781426,29.230889,G0085510040050,金银湖收费站,sichuan,RAMP_PLAZA,104.781426,29.230889,0
G0076510020030,隆纳泸县,sichuan,,,G0076510020030,,,,,,G0076510020030,泸县收费站,SI_CHUAN,105.322674,29.151436,G0076510020030,泸县收费站,sichuan,RAMP_PLAZA,105.322674,29.151436,0
G0076510020050,隆纳胡市,sichuan,,,G0076510020050,,,,,,G0076510020050,胡市收费站,SI_CHUAN,105.373443,28.947436,G0076510020050,胡市收费站,sichuan,RAMP_PLAZA,105.373443,28.947436,0
G0042510040130,成南淮口,sichuan,,,G0042510040130,,,,,,G0042510040130,淮口收费站,SI_CHUAN,104.544729,30.689606,G0042510040130,淮口收费站,sichuan,RAMP_PLAZA,104.544729,30.689606,0
G0006640010080,永宁,ningxia,,,G0006640010080,2110003187,永宁收费站,ningxia,106.23575,38.29351,G0006640010080,永宁收费站,NING_XIA,106.235697,38.293397,G0006640010080,永宁收费站,ningxia,MAIN_LINE_PLAZA,106.235697,38.293397,0
S0006130010010,衡水东,hebei,115.472512,37.434021,S0006130010010,,,,,,S0006130010010,衡水东收费站,HE_BEI,115.795743,37.728417,S0006130010010,衡水东收费站,hebei,RAMP_PLAZA,115.795743,37.728417,0
S0030120010010,高村,tianjin,,,S0030120010010,,,,,,S0030120010010,高村收费站,TIAN_JIN,116.838964,39.630148,S0030120010010,高村收费站,tianjin,PROVINCE_STATION_INDEPENDENT,116.838964,39.630148,0
S0001120010060,上仓,tianjin,,,S0001120010060,2110003812,上仓收费站,tianjin,117.35952,39.9077,S0001120010060,上仓收费站,TIAN_JIN,117.359351,39.907505,S0001120010060,上仓收费站,tianjin,RAMP_PLAZA,117.359351,39.907505,0
S0001120010090,宝坻,tianjin,,,S0001120010090,2110003846,宝坻收费站,tianjin,117.34844,39.66422,S0001120010090,宝坻收费站,TIAN_JIN,117.3486,39.664207,S0001120010090,宝坻收费站,tianjin,RAMP_PLAZA,117.3486,39.664207,0
G2501120010070,石各庄,tianjin,,,G2501120010070,2110068867,石各庄收费站,tianjin,116.88116,39.28486,G2501120010070,石各庄收费站,TIAN_JIN,116.881465,39.284966,G2501120010070,石各庄收费站,tianjin,PROVINCE_STATION_COMMON,116.881465,39.284966,0
S0038320010070,霞客,jiangsu,120.364651,31.820484,S0038320010070,2110028441,霞客收费站,jiangsu,120.35832,31.81414,S0038320010070,霞客收费站,JIANG_SU,120.358473,31.814037,S0038320010070,霞客收费站,jiangsu,RAMP_PLAZA,120.358473,31.814037,0
S0039320010030,春江,jiangsu,119.885738,31.937674,S0039320010030,2110046241,春江收费站,jiangsu,119.87943,31.93168,S0039320010030,春江收费站,JIANG_SU,119.87924,31.931444,S0039320010030,春江收费站,jiangsu,RAMP_PLAZA,119.87924,31.931444,0
G0056530120010,龙陵,yunnan,98.692979,24.606123,G0056530120010,,,,,,G0056530120010,龙陵收费站,YUN_NAN,98.688317,24.60013,G0056530120010,龙陵收费站,yunnan,RAMP_PLAZA,98.688317,24.60013,0
G0085530020070,昭通南,yunnan,103.674384,27.266284,G0085530020070,,,,,,G0085530020070,昭通南收费站,YUN_NAN,103.678072,27.259575,G0085530020070,昭通南收费站,yunnan,RAMP_PLAZA,103.678072,27.259575,0
S0070510010030,广元上西坝,sichuan,,,S0070510010030,,,,,,S0070510010030,上西坝收费站,SI_CHUAN,,,S0070510010030,上西坝收费站,sichuan,,,,3
S0002510030110,成德南金堂,sichuan,,,S0002510030110,,,,,,S0002510030110,金堂收费站,SI_CHUAN,104.426392,30.805559,S0002510030110,金堂收费站,sichuan,RAMP_PLAZA,104.426392,30.805559,0
S0001510020020,成绵复金山,sichuan,,,S0001510020020,,,,,,S0001510020020,金山收费站,SI_CHUAN,104.49406,31.403975,S0001510020020,金山收费站,sichuan,RAMP_PLAZA,104.49406,31.403975,0
G0422440010030,仁化,guangdong,113.779229,25.133572,G0422440010030,,,,,,G0422440010030,仁化收费站,GUANG_DONG,113.772616,25.127129,G0422440010030,仁化收费站,guangdong,RAMP_PLAZA,113.772616,25.127129,0
S0013450010040,富阳,guangxi,111.142817,24.493472,S0013450010040,,,,,,S0013450010040,富阳收费站,GUANG_XI,111.247593,24.823324,S0013450010040,富阳收费站,guangxi,RAMP_PLAZA,111.247593,24.823324,0
G0005510010010,广陕朝天,sichuan,,,G0005510010010,,,,,,G0005510010010,朝天收费站,SI_CHUAN,105.902373,32.643424,G0005510010010,朝天收费站,sichuan,RAMP_PLAZA,105.902373,32.643424,0
S0026510010050,宜叙双河,sichuan,,,S0026510010050,,,,,,S0026510010050,双河收费站,SI_CHUAN,104.905373,28.376371,S0026510010050,双河收费站,sichuan,RAMP_PLAZA,104.905373,28.376371,0
G0005510050070,成雅寿安,sichuan,,,G0005510050070,,,,,,G0005510050070,寿安收费站,SI_CHUAN,103.639002,30.25572,G0005510050070,寿安收费站,sichuan,RAMP_PLAZA,103.639002,30.25572,0
G0512510010050,成乐夹江,sichuan,,,G0512510010050,,,,,,G0512510010050,夹江收费站,SI_CHUAN,103.682952,29.776747,G0512510010050,夹江收费站,sichuan,RAMP_PLAZA,103.682952,29.776747,0
G015W330020030,百步,zhejiang,120.765118,30.561794,G015W330020030,2110052535,百步收费站,zhejiang,120.75874,30.55584,G015W330020030,百步收费站,ZHE_JIANG,120.758401,30.55589,G015W330020030,百步收费站,zhejiang,MAIN_LINE_PLAZA,120.758401,30.55589,0
S0020330010020,霞浦,zhejiang,121.522835,29.523299,S0020330010020,2110052012,霞浦收费站,zhejiang,121.87856,29.87321,S0020330010020,霞浦收费站,ZHE_JIANG,121.878744,29.873087,S0020330010020,霞浦收费站,zhejiang,MAIN_LINE_PLAZA,121.878744,29.873087,0
G0092330010100,牟山,zhejiang,120.979315,30.067365,G0092330010100,2110011826,牟山收费站,zhejiang,120.98327,30.06016,G0092330010100,牟山收费站,ZHE_JIANG,120.983551,30.064892,G0092330010100,牟山收费站,zhejiang,RAMP_PLAZA,120.983551,30.064892,0
G0025330030010,丽水,zhejiang,119.911039,28.400078,G0025330030010,2110011864,丽水收费站,zhejiang,119.90455,28.39399,G0025330030010,丽水收费站,ZHE_JIANG,119.904552,28.393989,G0025330030010,丽水收费站,zhejiang,RAMP_PLAZA,119.904552,28.393989,0
G0001220020020,兴隆山,jilin,43.952333,125.458125,G0001220020020,,,,,,G0001220020020,兴隆山收费站,JI_LIN,125.452047,43.950561,G0001220020020,兴隆山收费站,jilin,RAMP_PLAZA,125.452047,43.950561,0
G0011220010030,官地,jilin,43.570852,128.411358,G0011220010030,,,,,,G0011220010030,官地收费站,JI_LIN,128.406373,43.562933,G0011220010030,官地收费站,jilin,RAMP_PLAZA,128.406373,43.562933,0
G0011220020010,露水河,jilin,42.524042,127.695193,G0011220020010,,,,,,G0011220020010,露水河收费站,JI_LIN,127.687877,42.518093,G0011220020010,露水河收费站,jilin,RAMP_PLAZA,127.687877,42.518093,0
G0012220010040,白城北,jilin,45.677479,122.764071,G0012220010040,2110062097,白城北收费站,jilin,122.87719,45.66727,G0012220010040,白城北收费站,JI_LIN,122.757754,45.668737,G0012220010040,白城北收费站,jilin,RAMP_PLAZA,122.757754,45.668737,0
G0012220010090,舍力,jilin,45.563709,123.344735,G0012220010090,2110021457,舍力收费站,jilin,123.34904,45.55353,G0012220010090,舍力收费站,JI_LIN,123.349309,45.553379,G0012220010090,舍力收费站,jilin,RAMP_PLAZA,123.349309,45.553379,0
G0012220030010,长春东,jilin,43.896624,125.456903,G0012220030010,2110021643,长春东收费站,jilin,125.44991,43.89056,G0012220030010,长春东收费站,JI_LIN,123.64481,43.603708,G0012220030010,长春东收费站,jilin,RAMP_PLAZA,123.64481,43.603708,0
G0012220060020,凉水,jilin,43.016719,130.044226,G0012220060020,2110021385,凉水收费站,jilin,130.02864,43.0337,G0012220060020,凉水收费站,JI_LIN,130.028506,43.033792,G0012220060020,凉水收费站,jilin,RAMP_PLAZA,130.028506,43.033792,0
G0045220020090,双辽北,jilin,43.652205,123.547877,G0045220020090,2110021604,双辽北收费站,jilin,123.54331,43.64834,G0045220020090,双辽北收费站,JI_LIN,123.543522,43.648299,G0045220020090,双辽北收费站,jilin,PROVINCE_STATION_INDEPENDENT,123.543522,43.648299,0
G1212220010040,红旗,jilin,43.784708,126.564837,G1212220010040,2110021391,红旗收费站,jilin,123.63897,43.59769,G1212220010040,红旗收费站,JI_LIN,126.572866,43.776471,G1212220010040,红旗收费站,jilin,RAMP_PLAZA,126.572866,43.776471,0
G4512220010010,西明嘎主线,jilin,46.203775,123.38674,G4512220010010,,,,,,G4512220010010,西明嘎主线收费站,JI_LIN,123.379717,46.197575,G4512220010010,西明嘎主线收费站,jilin,PROVINCE_STATION_INDEPENDENT,123.379717,46.197575,0
G4512220010020,坦途,jilin,46.196527,123.387423,G4512220010020,,,,,,G4512220010020,坦途收费站,JI_LIN,123.381181,46.189913,G4512220010020,坦途收费站,jilin,RAMP_PLAZA,123.381181,46.189913,0
S0026220020070,靖宇,jilin,42.379915,126.750606,S0026220020070,2110021591,靖宇收费站,jilin,126.74596,42.3741,S0026220020070,靖宇收费站,JI_LIN,126.745796,42.373909,S0026220020070,靖宇收费站,jilin,RAMP_PLAZA,126.745796,42.373909,0
G4213420040060,宝丰,hubei,,,G4213420040060,2110068096,宝丰收费站,hubei,109.98282,32.31137,G4213420040060,宝丰收费站,HU_BEI,109.982926,32.311266,G4213420040060,宝丰收费站,hubei,RAMP_PLAZA,109.982926,32.311266,0
G4213420040070,竹溪,hubei,,,G4213420040070,2110068097,竹溪收费站,hubei,109.76283,32.30523,G4213420040070,竹溪收费站,HU_BEI,109.76291,32.305304,G4213420040070,竹溪收费站,hubei,RAMP_PLAZA,109.76291,32.305304,0
G04W2420010010,鄂豫,hubei,,,G04W2420010010,,,,,,G04W2420010010,鄂豫收费站,HU_BEI,113.501462,32.307048,G04W2420010010,鄂豫收费站,hubei,PROVINCE_STATION_COMMON,113.501462,32.307048,0
G04W2420030030,监利,hubei,,,G04W2420030030,2110032224,监利收费站,hubei,113.03016,29.887,G04W2420030030,监利收费站,HU_BEI,113.030055,29.886978,G04W2420030030,监利收费站,hubei,RAMP_PLAZA,113.030055,29.886978,0
G0050420010030,花桥,hubei,,,G0050420010030,2110032154,花桥收费站,hubei,115.73513,30.01869,G0050420010030,花桥收费站,HU_BEI,115.737911,30.021505,G0050420010030,花桥收费站,hubei,RAMP_PLAZA,115.737911,30.021505,0
G0050420020020,鄂州,hubei,,,G0050420020020,2110032168,鄂州收费站,hubei,114.87279,30.32102,G0050420020020,鄂州收费站,HU_BEI,114.870091,30.319437,G0050420020020,鄂州收费站,hubei,RAMP_PLAZA,114.870091,30.319437,0
G0050420030030,排湖,hubei,,,G0050420030030,,,,,,G0050420030030,排湖收费站,HU_BEI,113.290305,30.376805,G0050420030030,排湖收费站,hubei,RAMP_PLAZA,113.290305,30.376805,0
S0029420010020,河铺,hubei,,,S0029420010020,,,,,,S0029420010020,河铺收费站,HU_BEI,115.348041,30.989277,S0029420010020,河铺收费站,hubei,RAMP_PLAZA,115.348041,30.989277,0
S0029420010050,浠水,hubei,,,S0029420010050,,,,,,S0029420010050,浠水收费站,HU_BEI,115.378522,30.468428,S0029420010050,浠水收费站,hubei,RAMP_PLAZA,115.378522,30.468428,0
G3014650010100,巴音托海匝道,xinjiang,,,G3014650010100,,,,,,G3014650010100,巴音托海收费站,XIN_JIANG,86.502364,46.931445,G3014650010100,巴音托海收费站,xinjiang,RAMP_PLAZA,86.502364,46.931445,0
G3014650010180,克南,xinjiang,,,G3014650010180,,,,,,G3014650010180,克拉玛依南收费站,XIN_JIANG,84.776143,45.361153,G3014650010180,克拉玛依南收费站,xinjiang,MAIN_LINE_PLAZA,84.776143,45.361153,0
G5012500010030,民国场,chongqing,108.449129,31.0006,G5012500010030,2110000694,民国场收费站,chongqing,108.44894,31.00072,G5012500010030,民国场收费站,CHONG_QING,108.448999,31.000699,G5012500010030,民国场收费站,chongqing,RAMP_PLAZA,108.448999,31.000699,0
G4215520010080,二郎,guizhou,,,G4215520010080,2110054197,二郎收费站,guizhou,106.33252,28.17707,G4215520010080,二郎收费站,GUI_ZHOU,106.332532,28.177055,G4215520010080,二郎收费站,guizhou,RAMP_PLAZA,106.332532,28.177055,0
S0201630010050,官亭主线,qinghai,,,S0201630010050,,,,,,S0201630010050,官亭收费站,QING_HAI,102.817157,35.886671,S0201630010050,官亭收费站,qinghai,MAIN_LINE_PLAZA,102.817157,35.886671,0
G0076510010120,成渝简阳,sichuan,,,G0076510010120,,,,,,G0076510010120,简阳收费站,SI_CHUAN,104.524173,30.361467,G0076510010120,简阳收费站,sichuan,RAMP_PLAZA,104.524173,30.361467,0
G0022620050040,定远,gansu,104.013803,35.96517,G0022620050040,2110025836,定远收费站,gansu,104.01365,35.96121,G0022620050040,定远收费站,GAN_SU,104.013704,35.961247,G0022620050040,定远收费站,gansu,RAMP_PLAZA,104.013704,35.961247,0
S0082410010020,杞县,henan,,,S0082410010020,,,,,,S0082410010020,杞县收费站,HE_NAN,114.734752,34.598593,S0082410010020,杞县收费站,henan,RAMP_PLAZA,114.734752,34.598593,0
G2011370040020,田庄,shandong,,,G2011370040020,2110009229,田庄收费站,shandong,119.75134,36.7775,G2011370040020,田庄收费站,SHAN_DONG,119.751298,36.777501,G2011370040020,田庄收费站,shandong,RAMP_PLAZA,119.751298,36.777501,0
G0075510020070,广南流马,sichuan,,,G0075510020070,,,,,,G0075510020070,流马收费站,SI_CHUAN,105.955496,31.234923,G0075510020070,流马收费站,sichuan,RAMP_PLAZA,105.955496,31.234923,0
S0011510020010,内遂安居,sichuan,,,S0011510020010,,,,,,S0011510020010,安居收费站,SI_CHUAN,105.508996,30.337494,S0011510020010,安居收费站,sichuan,RAMP_PLAZA,105.508996,30.337494,0
S0066130010040,涞源东,hebei,114.87999,39.387927,S0066130010040,2110045442,涞源东收费站,hebei,114.87825,39.38535,S0066130010040,涞源东收费站,HE_BEI,114.878186,39.385241,S0066130010040,涞源东收费站,hebei,RAMP_PLAZA,114.878186,39.385241,0
G0005130020050,保北,hebei,115.415249,39.032615,G0005130020050,,,,,,G0005130020050,保北收费站,HE_BEI,115.42144,39.03396,G0005130020050,保北收费站,hebei,RAMP_PLAZA,115.42144,39.03396,0
S0006130010030,景州主线,hebei,115.962536,38.026121,S0006130010030,2110019986,景州主线收费站,hebei,116.24915,37.51772,S0006130010030,青兰收费站,HE_BEI,116.095566,37.547026,S0006130010030,青兰收费站,hebei,PROVINCE_STATION_INDEPENDENT,116.095566,37.547026,0
G1812130010070,保阜高速阜平西,hebei,114.168299,38.86071,G1812130010070,,,,,,G1812130010070,阜平西收费站,HE_BEI,114.174878,38.861405,G1812130010070,阜平西收费站,hebei,RAMP_PLAZA,114.174878,38.861405,0
G2516130020040,平乡,hebei,115.004303,36.973922,G2516130020040,2110019251,平乡收费站,hebei,115.00893,36.97446,G2516130020040,平乡收费站,HE_BEI,115.008891,36.974432,G2516130020040,平乡收费站,hebei,RAMP_PLAZA,115.008891,36.974432,0
G0078440020060,玉湖,guangdong,116.250037,23.698352,G0078440020060,2110038051,玉湖收费站,guangdong,116.24358,23.69239,G0078440020060,玉湖收费站,GUANG_DONG,116.243796,23.692579,G0078440020060,玉湖收费站,guangdong,RAMP_PLAZA,116.243796,23.692579,0
S0009330030010,六工段,zhejiang,120.313,30.2131,S0009330030010,2110058632,六工段收费站,zhejiang,120.53039,30.35551,S0009330030010,六工段收费站,ZHE_JIANG,120.530715,30.355371,S0009330030010,六工段收费站,zhejiang,RAMP_PLAZA,120.530715,30.355371,0
S0027330010040,永康东,zhejiang,120.116589,28.884377,S0027330010040,2110133618,永康东收费站,zhejiang,120.1167,28.8845,S0027330010040,永康东收费站,ZHE_JIANG,120.116667,28.884598,S0027330010040,永康东收费站,zhejiang,RAMP_PLAZA,120.116667,28.884598,0
G0060330010050,王店,zhejiang,120.70552,30.645255,G0060330010050,2110011432,王店收费站,zhejiang,120.7096,30.64289,G0060330010050,王店收费站,ZHE_JIANG,120.709809,30.642961,G0060330010050,王店收费站,zhejiang,RAMP_PLAZA,120.709809,30.642961,0
G0015330120020,七都,zhejiang,120.77322,28.001833,G0015330120020,,,,,,G0015330120020,七都收费站,JIANG_SU,120.502094,30.968137,G0015330120020,七都收费站,zhejiang,MAIN_LINE_PLAZA,120.502094,30.968137,0
G060N330020080,银岭关主线,zhejiang,118.947345,29.235311,G060N330020080,,,,,,G060N330020080,银岭关收费站,ZHE_JIANG,118.073886,29.093331,G060N330020080,银岭关收费站,zhejiang,PROVINCE_STATION_INDEPENDENT,118.073886,29.093331,0
G0025330020120,富春江,zhejiang,119.636449,29.720918,G0025330020120,2110011366,富春江收费站,zhejiang,119.63632,29.72101,G0025330020120,富春江收费站,ZHE_JIANG,119.636449,29.720918,G0025330020120,富春江收费站,zhejiang,RAMP_PLAZA,119.636449,29.720918,0
S0026330010060,陈宅,zhejiang,120.349916,29.516287,S0026330010060,2110011918,陈宅收费站,zhejiang,120.34343,29.51004,S0026330010060,陈宅收费站,ZHE_JIANG,120.343415,29.510049,S0026330010060,陈宅收费站,zhejiang,MAIN_LINE_PLAZA,120.343415,29.510049,0
S0026330010140,神仙居,zhejiang,120.626378,28.751554,S0026330010140,2110011442,神仙居收费站,zhejiang,120.62003,28.74547,S0026330010140,神仙居收费站,ZHE_JIANG,120.619836,28.7454,S0026330010140,神仙居收费站,zhejiang,MAIN_LINE_PLAZA,120.619836,28.7454,0
G0092330010090,上虞付,zhejiang,120.8846,30.05459,G0092330010090,,,,,,G0092330010090,上虞收费站,ZHE_JIANG,120.900106,30.048326,G0092330010090,上虞收费站,zhejiang,RAMP_PLAZA,120.900106,30.048326,0
S0026330010210,古庙,zhejiang,120.793068,28.232025,S0026330010210,2110011731,古庙收费站,zhejiang,120.78636,28.22641,S0026330010210,古庙收费站,ZHE_JIANG,120.786519,28.226324,S0026330010210,古庙收费站,zhejiang,MAIN_LINE_PLAZA,120.786519,28.226324,0
S0026330010190,花坦,zhejiang,120.780168,28.277573,S0026330010190,2110011717,花坦收费站,zhejiang,120.77399,28.27173,S0026330010190,花坦收费站,ZHE_JIANG,120.773773,28.271838,S0026330010190,花坦收费站,zhejiang,MAIN_LINE_PLAZA,120.773773,28.271838,0
G1501330010060,东钱湖,zhejiang,121.63787,29.81031,G1501330010060,2110011820,东钱湖收费站,zhejiang,121.64106,29.81253,G1501330010060,东钱湖收费站,ZHE_JIANG,121.640996,29.812497,G1501330010060,东钱湖收费站,zhejiang,RAMP_PLAZA,121.640996,29.812497,0
S0010330010030,永嘉南,zhejiang,120.684683,28.087906,S0010330010030,2110011482,永嘉南收费站,zhejiang,120.68864,28.08453,S0010330010030,永嘉南收费站,ZHE_JIANG,120.688667,28.084411,S0010330010030,永嘉南收费站,zhejiang,MAIN_LINE_PLAZA,120.688667,28.084411,0
G5001500020090,青木关,chongqing,106.312566,29.658614,G5001500020090,2110000632,青木关收费站,chongqing,106.31178,29.65741,G5001500020090,青木关收费站,CHONG_QING,106.311813,29.657473,G5001500020090,青木关收费站,chongqing,RAMP_PLAZA,106.311813,29.657473,0
G0060360250130,梨温路进贤,jiangxi,,,G0060360250130,,,,,,G0060360250130,进贤收费站,JIANG_XI,116.297161,28.32746,G0060360250130,进贤收费站,jiangxi,RAMP_PLAZA,116.297161,28.32746,0
G0076360270060,赣崇路文英,jiangxi,,,G0076360270060,,,,,,G0076360270060,文英收费站,JIANG_XI,114.028189,25.552951,G0076360270060,文英收费站,jiangxi,MAIN_LINE_PLAZA,114.028189,25.552951,0
G0045360680040,赣定路信丰,jiangxi,,,G0045360680040,,,,,,G0045360680040,信丰收费站,JIANG_XI,114.894708,25.342654,G0045360680040,信丰收费站,jiangxi,RAMP_PLAZA,114.894708,25.342654,0
G0070360040040,乐温路幽兰,jiangxi,,,G0070360040040,,,,,,G0070360040040,幽兰收费站,JIANG_XI,116.072264,28.568768,G0070360040040,幽兰收费站,jiangxi,RAMP_PLAZA,116.072264,28.568768,0
G6001360050030,昌西环路望城,jiangxi,,,G6001360050030,,,,,,G6001360050030,望城收费站,JIANG_XI,115.717899,28.614331,G6001360050030,望城收费站,jiangxi,MAIN_LINE_PLAZA,115.717899,28.614331,0
S0027150010120,贡宝拉格,neimenggu,,,S0027150010120,2110016515,贡宝拉格收费站,neimenggu,115.13771,41.70503,S0027150010120,贡宝拉格收费站,NEI_MENG_GU,115.137592,41.705113,S0027150010120,贡宝拉格收费站,neimenggu,RAMP_PLAZA,115.137592,41.705113,0
G0060430040030,土桥,hunan,,,G0060430040030,2110032922,土桥收费站,hunan,109.52127,27.41947,G0060430040030,土桥收费站,HU_NAN,109.521405,27.419518,G0060430040030,土桥收费站,hunan,MAIN_LINE_PLAZA,109.521405,27.419518,0
G0018150010010,清水河界,neimenggu,,,G0018150010010,,,,,,G0018150010010,清水河界收费站,NEI_MENG_GU,111.484517,40.11198,G0018150010010,清水河界收费站,neimenggu,PROVINCE_STATION_COMMON,111.484517,40.11198,0
G0006150030050,察素齐,neimenggu,,,G0006150030050,2110068775,察素齐收费站,neimenggu,111.19406,40.73526,G0006150030050,察素齐收费站,NEI_MENG_GU,111.194273,40.735251,G0006150030050,察素齐收费站,neimenggu,RAMP_PLAZA,111.194273,40.735251,0
G0055150020060,乌兰哈达,neimenggu,,,G0055150020060,2110016677,乌兰哈达收费站,neimenggu,122.13681,46.09884,G0055150020060,乌兰哈达收费站,NEI_MENG_GU,113.14007,41.666739,G0055150020060,乌兰哈达收费站,neimenggu,RAMP_PLAZA,113.14007,41.666739,0
S0031150010030,托县,neimenggu,,,S0031150010030,,,,,,S0031150010030,托克托收费站,NEI_MENG_GU,111.256522,40.236681,S0031150010030,托克托收费站,neimenggu,RAMP_PLAZA,111.256522,40.236681,0
G2011370040050,云山,shandong,,,G2011370040050,2110009298,云山收费站,shandong,120.25528,36.83649,G2011370040050,云山收费站,SHAN_DONG,120.255484,36.836376,G2011370040050,云山收费站,shandong,RAMP_PLAZA,120.255484,36.836376,0
G0020370050010,邹平,shandong,,,G0020370050010,2110009512,邹平收费站,shandong,117.76017,36.86604,G0020370050010,邹平收费站,SHAN_DONG,117.75956,36.868728,G0020370050010,邹平收费站,shandong,RAMP_PLAZA,117.75956,36.868728,0
G0020370030070,潍坊东,shandong,,,G0020370030070,2110009820,潍坊东收费站,shandong,119.24677,36.7123,G0020370030070,潍坊东收费站,SHAN_DONG,119.246558,36.712217,G0020370030070,潍坊东收费站,shandong,RAMP_PLAZA,119.246558,36.712217,0
G0065510020050,达渝石河,sichuan,,,G0065510020050,,,,,,G0065510020050,石河收费站,SI_CHUAN,107.321464,30.873417,G0065510020050,石河收费站,sichuan,RAMP_PLAZA,107.321464,30.873417,0
G5012510010030,达万开江,sichuan,,,G5012510010030,,,,,,G5012510010030,开江收费站,SI_CHUAN,107.821615,31.087571,G5012510010030,开江收费站,sichuan,RAMP_PLAZA,107.821615,31.087571,0
G0060430020470,廉桥,hunan,,,G0060430020470,2110032846,廉桥收费站,hunan,111.83331,27.31837,G0060430020470,廉桥收费站,HU_NAN,111.833368,27.318327,G0060430020470,廉桥收费站,hunan,MAIN_LINE_PLAZA,111.833368,27.318327,0
S5101430010040,杨山,hunan,,,S5101430010040,,,,,,S5101430010040,杨山收费站,HU_NAN,112.89817,27.071865,S5101430010040,杨山收费站,hunan,MAIN_LINE_PLAZA,112.89817,27.071865,0
G5513430020770,太子庙,hunan,,,G5513430020770,2110032735,太子庙收费站,hunan,111.95724,28.79568,G5513430020770,太子庙收费站,HU_NAN,111.957892,28.796199,G5513430020770,太子庙收费站,hunan,MAIN_LINE_PLAZA,111.957892,28.796199,0
S0021430010120,仙人市,hunan,,,S0021430010120,2110032980,仙人市收费站,hunan,113.18268,28.06888,S0021430010120,仙人市收费站,HU_NAN,113.182672,28.068785,S0021430010120,仙人市收费站,hunan,MAIN_LINE_PLAZA,113.182672,28.068785,0
S0021430010130,团头,hunan,,,S0021430010130,2110032982,团头收费站,hunan,113.17926,28.04937,S0021430010130,团头收费站,HU_NAN,113.179341,28.049384,S0021430010130,团头收费站,hunan,MAIN_LINE_PLAZA,113.179341,28.049384,0
G0056430040030,茶庵铺,hunan,,,G0056430040030,2110033030,茶庵铺收费站,hunan,111.15319,28.61101,G0056430040030,茶庵铺收费站,HU_NAN,111.153204,28.61116,G0056430040030,茶庵铺收费站,hunan,MAIN_LINE_PLAZA,111.153204,28.61116,0
G04W2430010040,岳阳东,hunan,,,G04W2430010040,2110033013,岳阳东收费站,hunan,113.24247,29.31871,G04W2430010040,岳阳东收费站,HU_NAN,113.242666,29.3188,G04W2430010040,岳阳东收费站,hunan,MAIN_LINE_PLAZA,113.242666,29.3188,0
S0020440010140,南靖,guangdong,112.944034,22.672584,S0020440010140,,,,,,S0020440010140,南靖收费站,GUANG_DONG,112.959835,22.673399,S0020440010140,南靖收费站,guangdong,RAMP_PLAZA,112.959835,22.673399,0
G0085530070020,嘉丽泽,yunnan,103.110293,25.258029,G0085530070020,,,,,,G0085530070020,嘉丽泽收费站,YUN_NAN,103.114608,25.252145,G0085530070020,嘉丽泽收费站,yunnan,RAMP_PLAZA,103.114608,25.252145,0
G0078530040010,罗平北,yunnan,104.299729,24.934845,G0078530040010,,,,,,G0078530040010,罗平北收费站,YUN_NAN,104.30428,24.929294,G0078530040010,罗平北收费站,yunnan,RAMP_PLAZA,104.30428,24.929294,0
S0073440010080,黄阁,guangdong,113.483665,22.849917,S0073440010080,,,,,,S0073440010080,黄阁收费站,GUANG_DONG,113.494851,22.847405,S0073440010080,黄阁收费站,guangdong,RAMP_PLAZA,113.494851,22.847405,0
G0025120010050,清河农场,tianjin,,,G0025120010050,2110003818,清河农场收费站,tianjin,117.67209,39.21763,G0025120010050,清河农场收费站,TIAN_JIN,117.67222,39.217627,G0025120010050,清河农场收费站,tianjin,RAMP_PLAZA,117.67222,39.217627,0
S0003120010020,西区,tianjin,,,S0003120010020,,,,,,S0003120010020,西区收费站,TIAN_JIN,117.533769,39.053489,S0003120010020,西区收费站,tianjin,MAIN_LINE_PLAZA,117.533769,39.053489,0
G2501120010050,双街,tianjin,,,G2501120010050,2110003762,双街收费站,tianjin,117.09989,39.30787,G2501120010050,双街收费站,TIAN_JIN,117.100071,39.307982,G2501120010050,双街收费站,tianjin,RAMP_PLAZA,117.100071,39.307982,0
G0002320010080,淮安,jiangsu,119.185,33.595314,G0002320010080,2110028645,淮安收费站,jiangsu,119.17867,33.58907,G0002320010080,淮安收费站,JIANG_SU,119.178559,33.589127,G0002320010080,淮安收费站,jiangsu,RAMP_PLAZA,119.178559,33.589127,0
G0002320060050,阳澄湖,jiangsu,120.774444,31.370556,G0002320060050,2110028142,阳澄湖收费站,jiangsu,120.73373,31.47685,G0002320060050,阳澄湖收费站,JIANG_SU,120.774495,31.370688,G0002320060050,阳澄湖收费站,jiangsu,RAMP_PLAZA,120.774495,31.370688,0
